original_date,product_code,pk,data_type,event_date,temp_min_c,temp_max_c,rainfall_mm,evaporation_mm,sunshine_hrs,wind_gust_direction,wind_gust_speed_max_kmh,time_wind_gust_max_speed_kmh,time_0900_temp_c,time_0900_humidity_pct,time_0900_cloud_amount_oktas,time_0900_wind_direction,time_0900_wind_speed_kmh,time_0900_pressure_msl_hpa,time_1500_temp_c,time_1500_humidity_pct,time_1500_cloud_amount_oktas,time_1500_wind_direction,time_1500_wind_speed_kmh,time_1500_pressure_msl_hpa
2019-12-15,IDCJDW6051,weather_summary-2019-12-15,weather_summary,2019-12-15,,,0,,12.8,,,,32.3,53,0,NE,2,1005.7,,,,,,1004.1
2019-12-16,IDCJDW6051,weather_summary-2019-12-16,weather_summary,2019-12-16,,,0,,13,,,,,,,,,1006.9,,,,,,1005.8
2019-12-17,IDCJDW6051,weather_summary-2019-12-17,weather_summary,2019-12-17,21.2,36.5,0,,12.3,,,,30.5,57,1,SW,6,1010.9,33.6,53,2,SW,22,1009.8
2019-12-18,IDCJDW6051,weather_summary-2019-12-18,weather_summary,2019-12-18,23.2,35.5,0,,13.2,,,,29.3,41,0,NE,13,1010.6,32.5,37,0,SW,19,1009
2019-12-19,IDCJDW6051,weather_summary-2019-12-19,weather_summary,2019-12-19,20,,0,,7.6,,,,24.5,68,7,NW,19,1010.6,23.6,51,6,W,9,1012.4
2019-12-20,IDCJDW6051,weather_summary-2019-12-20,weather_summary,2019-12-20,17.1,27.5,0,,7.6,,,,22,62,7,S,4,1018.6,26,54,0,SW,6,1016.9
2019-12-21,IDCJDW6051,weather_summary-2019-12-21,weather_summary,2019-12-21,16.6,34.1,0,,12.9,,,,24,53,0,SW,2,1015.7,,,,,,1012.1
2019-12-22,IDCJDW6051,weather_summary-2019-12-22,weather_summary,2019-12-22,15.9,29.6,0,,7.8,,,,21.1,74,7,S,11,1013.4,,,,,,1012.2
2019-12-23,IDCJDW6051,weather_summary-2019-12-23,weather_summary,2019-12-23,18.7,32.8,0,,12.9,,,,26,54,1,S,2,1014.4,31.9,44,5,WSW,4,1013
2019-12-24,IDCJDW6051,weather_summary-2019-12-24,weather_summary,2019-12-24,18.5,,0,,12.7,,,,25.7,47,2,SW,2,1016.6,33.4,46,3,WSW,4,1013.7
2019-12-25,IDCJDW6051,weather_summary-2019-12-25,weather_summary,2019-12-25,,36.6,0,,9.4,,,,,,,,,1013.6,,,,,,1010.9
2019-12-26,IDCJDW6051,weather_summary-2019-12-26,weather_summary,2019-12-26,20.1,30,0,,9.8,,,,25.3,88,5,N,11,1013.5,,,,,,1012.3
2019-12-27,IDCJDW6051,weather_summary-2019-12-27,weather_summary,2019-12-27,,28.5,0,,13,,,,23.6,66,1,SSE,4,1016.8,28.2,43,1,SW,7,1015.3
2019-12-28,IDCJDW6051,weather_summary-2019-12-28,weather_summary,2019-12-28,14,29.3,0,,13.3,,,,21,67,0,S,9,1016.8,,,,,,1014.4
2019-12-29,IDCJDW6051,weather_summary-2019-12-29,weather_summary,2019-12-29,17.8,26.5,0,,11.5,,,,22.1,77,3,NW,6,1013.2,,,,,,1013.4
